9.74,3055365806
9.7405,1464806313
9.741,-868199860.6
9.7415,-3529600784
9.742,-6272801599
9.7425,-9351107943
9.743,-12047495567
9.7435,-14667396617
9.744,-16826423526
9.7445,-18354748947
9.745,-19212128836
9.7455,-19292313930
9.746,-18526777483
9.7465,-16694250119
9.747,-14126488427
9.7475,-10993399532
9.748,-8045587478
9.7485,-5117009319
9.749,-3150535497
9.7495,-1474745590
9.75,-641648019.1
9.7505,-94028511.99
9.751,-165131318.1
9.7515,-1016033132
9.752,-1789362994
9.7525,-3245146642
9.753,-4637877040
9.7535,-6762550448
9.754,-8745388294
9.7545,-10805774694
9.755,-13079738243
9.7555,-14960351298
9.756,-16823841902
9.7565,-18328614834
9.757,-18877242110
9.7575,-18949603234
9.758,-17391812613
9.7585,-15349105590
9.759,-12748566790
9.7595,-8982019279
9.76,-5086497945
9.7605,-1445994587
9.761,1274848930
9.7615,3891188681
9.762,5323034671
9.7625,5964397300
9.763,6632019083
9.7635,6212953293
9.764,5056824196
9.7645,3590331098
9.765,1445578380
9.7655,-550787538.1
9.766,-2814579228
9.7665,-5167062399
9.767,-7362515844
9.7675,-9253533223
9.768,-10955005107
9.7685,-12249679004
9.769,-12678920857
9.7695,-12319763353
9.77,-11197096468
9.7705,-9116953602
9.771,-5478321910
9.7715,-1597874896
9.772,2739896272
9.7725,6873903075
9.773,10626659164
9.7735,13667619326
9.774,16127270009
9.7745,17459312961
9.775,17832818711
9.7755,17170864786
9.776,16067715108
9.7765,14009114703
9.777,11792147578
9.7775,8870866527
9.778,6463927196
9.7785,4391866204
9.779,2612593926
9.7795,1003419099
9.78,37427213.53
9.7805,-587171456.9
9.781,-1246732041
9.7815,-1148085260
9.782,-314045976.5
9.7825,1142237757
9.783,3324056933
9.7835,6127801198
9.784,9285849712
9.7845,12361028056
9.785,15911296017
9.7855,19117226817
9.786,20831148521
9.7865,22471453791
9.787,22929378496
9.7875,22520203246
9.788,20993927419
9.7885,19060217490
9.789,16585586837
9.7895,13975746137
9.79,11178613049
9.7905,8976215498
9.791,7090227556
9.7915,5764404499
9.792,4528291666
9.7925,3949841440
9.793,3659563559
9.7935,3832557420
9.794,4238476121
9.7945,5425284983
9.795,7170769995
9.7955,9416625853
9.796,12019065548
9.7965,15376268258
9.797,17640673677
9.7975,20585739693
9.798,22392796175
9.7985,23650669999
9.799,23971414234
9.7995,23262340622